link,pumps,pumps,pumps,pumps,pumps,pumps
id,P78,P78,P78,P79,P79,P79
properties,flow,energy,status,flow,energy,status
0 days 00:00:00,526.4998202413495,168.0833535326724,1.0,526.4998202413495,168.0833535326724,1.0
0 days 00:05:00,531.1740447149317,169.4425555290244,1.0,531.1740447149317,169.4425555290244,1.0
0 days 00:10:00,535.7934887119018,170.78352783658983,1.0,535.7934887119018,170.78352783658983,1.0
0 days 00:15:00,540.3635392846376,172.1079116374294,1.0,540.3635392846376,172.1079116374294,1.0
0 days 00:19:00,543.9834054225489,173.15534705009472,1.0,543.9834054225489,173.15534705009472,1.0
0 days 00:20:00,596.2320272652244,188.11747588283174,1.0,596.2320272652244,188.11747588283174,1.0
0 days 00:25:00,600.1043562827285,189.2147279809185,1.0,600.1043562827285,189.2147279809185,1.0
0 days 00:29:07,737.1973781037176,227.02556930437945,1.0,737.1973781037176,227.02556930437945,1.0
0 days 00:30:00,737.1960048887283,227.02520065252077,1.0,737.1960048887283,227.02520065252077,1.0
0 days 00:35:00,737.1960070686615,227.02520123774352,1.0,737.1960070686615,227.02520123774352,1.0
0 days 00:40:00,737.1960075693958,227.02520137217016,1.0,737.1960075693958,227.02520137217016,1.0
0 days 00:45:00,737.196007672653,227.02520139989053,1.0,737.196007672653,227.02520139989053,1.0
0 days 00:50:00,737.1960078563098,227.0252014491948,1.0,737.1960078563098,227.0252014491948,1.0
0 days 00:55:00,737.1960082615944,227.02520155799718,1.0,737.1960082615944,227.02520155799718,1.0
0 days 01:00:00,737.1960073519756,227.02520131380174,1.0,737.1960073519756,227.02520131380174,1.0
0 days 01:05:00,737.196008204139,227.02520154257272,1.0,737.196008204139,227.02520154257272,1.0
0 days 01:10:00,737.1960082948186,227.02520156691645,1.0,737.1960082948186,227.02520156691645,1.0
0 days 01:15:00,737.1960077534162,227.0252014215721,1.0,737.1960077534162,227.0252014215721,1.0
0 days 01:20:00,737.1960076800473,227.02520140187556,1.0,737.1960076800473,227.02520140187556,1.0
0 days 01:25:00,737.1960075767267,227.02520137413822,1.0,737.1960075767267,227.02520137413822,1.0
0 days 01:30:00,737.1960070726004,227.02520123880097,1.0,737.1960070726004,227.02520123880097,1.0
0 days 01:35:00,737.1960074052042,227.02520132809147,1.0,737.1960074052042,227.02520132809147,1.0
0 days 01:40:00,737.1960073667732,227.02520131777428,1.0,737.1960073667732,227.02520131777428,1.0
0 days 01:45:00,737.1960072300217,227.02520128106212,1.0,737.1960072300217,227.02520128106212,1.0
0 days 01:50:00,737.1960067197031,227.02520114406244,1.0,737.1960067197031,227.02520114406244,1.0
0 days 01:55:00,737.1960077361443,227.02520141693532,1.0,737.1960077361443,227.02520141693532,1.0
0 days 02:00:00,737.1960079070743,227.02520146282305,1.0,737.1960079070743,227.02520146282305,1.0
0 days 02:05:00,737.1960079604203,227.02520147714424,1.0,737.1960079604203,227.02520147714424,1.0
0 days 02:10:00,737.1960080080404,227.02520148992826,1.0,737.1960080080404,227.02520148992826,1.0
0 days 02:15:00,737.1960069942467,227.0252012177662,1.0,737.1960069942467,227.0252012177662,1.0
0 days 02:20:00,737.1960073712738,227.02520131898254,1.0,737.1960073712738,227.02520131898254,1.0
0 days 02:25:00,737.1960077631805,227.02520142419343,1.0,737.1960077631805,227.02520142419343,1.0
0 days 02:30:00,737.1960075673036,227.0252013716085,1.0,737.1960075673036,227.0252013716085,1.0
0 days 02:35:00,737.1960075788317,227.02520137470333,1.0,737.1960075788317,227.02520137470333,1.0
0 days 02:40:00,737.1960067903376,227.02520116302503,1.0,737.1960067903376,227.02520116302503,1.0
0 days 02:45:00,737.1960076797051,227.02520140178368,1.0,737.1960076797051,227.02520140178368,1.0
0 days 02:50:00,737.196007907786,227.02520146301404,1.0,737.196007907786,227.02520146301404,1.0
0 days 02:55:00,737.1960069525163,227.0252012065633,1.0,737.1960069525163,227.0252012065633,1.0
0 days 03:00:00,737.1960072650451,227.02520129046448,1.0,737.1960072650451,227.02520129046448,1.0
0 days 03:05:00,737.1960077928526,227.02520143215912,1.0,737.1960077928526,227.02520143215912,1.0
0 days 03:10:00,737.1960073296583,227.02520130781053,1.0,737.1960073296583,227.02520130781053,1.0
0 days 03:15:00,737.1960075859898,227.02520137662495,1.0,737.1960075859898,227.02520137662495,1.0
0 days 03:20:00,737.1960078696135,227.02520145276628,1.0,737.1960078696135,227.02520145276628,1.0
0 days 03:25:00,737.1960078966005,227.02520146001123,1.0,737.1960078966005,227.02520146001123,1.0
0 days 03:30:00,737.1960080282836,227.02520149536272,1.0,737.1960080282836,227.02520149536272,1.0
0 days 03:35:00,737.1960074986421,227.02520135317567,1.0,737.1960074986421,227.02520135317567,1.0
0 days 03:40:00,737.1960075166666,227.0252013580146,1.0,737.1960075166666,227.0252013580146,1.0
0 days 03:45:00,737.1960078802789,227.02520145562957,1.0,737.1960078802789,227.02520145562957,1.0
0 days 03:50:00,737.1960073338214,227.02520130892813,1.0,737.1960073338214,227.02520130892813,1.0
0 days 03:55:00,737.1960073659892,227.0252013175638,1.0,737.1960073659892,227.0252013175638,1.0
0 days 04:00:00,737.1960079528833,227.02520147512084,1.0,737.1960079528833,227.02520147512084,1.0
0 days 04:05:00,737.1960064353601,227.02520106772806,1.0,737.1960064353601,227.02520106772806,1.0
0 days 04:10:00,737.196007599849,227.0252013803456,1.0,737.196007599849,227.0252013803456,1.0
0 days 04:15:00,737.1960077034673,227.02520140816287,1.0,737.1960077034673,227.02520140816287,1.0
0 days 04:20:00,737.196007178284,227.02520126717266,1.0,737.196007178284,227.02520126717266,1.0
0 days 04:25:00,737.1960080610725,227.02520150416518,1.0,737.1960080610725,227.02520150416518,1.0
0 days 04:30:00,737.196007979854,227.02520148236135,1.0,737.196007979854,227.02520148236135,1.0
0 days 04:35:00,737.1960073220043,227.02520130575576,1.0,737.1960073220043,227.02520130575576,1.0
0 days 04:40:00,737.1960076419057,227.0252013916361,1.0,737.1960076419057,227.0252013916361,1.0
0 days 04:45:00,737.1960077552321,227.0252014220596,1.0,737.1960077552321,227.0252014220596,1.0
0 days 04:50:00,737.1960081799689,227.02520153608404,1.0,737.1960081799689,227.02520153608404,1.0
0 days 04:55:00,737.1960074536867,227.025201341107,1.0,737.1960074536867,227.025201341107,1.0
0 days 05:00:00,737.1960072265003,227.02520128011682,1.0,737.1960072265003,227.02520128011682,1.0
0 days 05:05:00,737.1960083835114,227.02520159072685,1.0,737.1960083835114,227.02520159072685,1.0
0 days 05:10:00,737.1960070398362,227.02520123000514,1.0,737.1960070398362,227.02520123000514,1.0
0 days 05:15:00,737.196007698614,227.0252014068599,1.0,737.196007698614,227.0252014068599,1.0
0 days 05:20:00,737.1960072848124,227.02520129577118,1.0,737.1960072848124,227.02520129577118,1.0
0 days 05:25:00,737.1960073712655,227.0252013189803,1.0,737.1960073712655,227.0252013189803,1.0
0 days 05:30:00,737.1960075720715,227.02520137288852,1.0,737.1960075720715,227.02520137288852,1.0
0 days 05:35:00,737.1960075362292,227.02520136326632,1.0,737.1960075362292,227.02520136326632,1.0
0 days 05:40:00,737.1960072236621,227.0252012793548,1.0,737.1960072236621,227.0252012793548,1.0
0 days 05:45:00,737.196007278033,227.0252012939512,1.0,737.196007278033,227.0252012939512,1.0
0 days 05:50:00,737.1960077462174,227.02520141963953,1.0,737.1960077462174,227.02520141963953,1.0
0 days 05:55:00,737.1960073908386,227.0252013242349,1.0,737.1960073908386,227.0252013242349,1.0
0 days 06:00:00,737.1960077893693,227.02520143122402,1.0,737.1960077893693,227.02520143122402,1.0
0 days 06:05:00,737.1960076183259,227.02520138530596,1.0,737.1960076183259,227.02520138530596,1.0
0 days 06:10:00,737.1960066258874,227.02520111887685,1.0,737.1960066258874,227.02520111887685,1.0
0 days 06:15:00,737.1960077580363,227.02520142281242,1.0,737.1960077580363,227.02520142281242,1.0
0 days 06:20:00,737.1960074936504,227.02520135183568,1.0,737.1960074936504,227.02520135183568,1.0
0 days 06:25:00,737.1960073145611,227.02520130375754,1.0,737.1960073145611,227.02520130375754,1.0
0 days 06:30:00,737.1960075188487,227.02520135860033,1.0,737.1960075188487,227.02520135860033,1.0
0 days 06:35:00,737.1960074885548,227.02520135046765,1.0,737.1960074885548,227.02520135046765,1.0
0 days 06:40:00,737.1960079174238,227.0252014656014,1.0,737.1960079174238,227.0252014656014,1.0
0 days 06:45:00,737.1960072301883,227.02520128110683,1.0,737.1960072301883,227.02520128110683,1.0
0 days 06:50:00,737.1960070103408,227.0252012220868,1.0,737.1960070103408,227.0252012220868,1.0
0 days 06:55:00,737.1960076902024,227.0252014046018,1.0,737.1960076902024,227.0252014046018,1.0
0 days 07:00:00,737.1960081202311,227.02520152004686,1.0,737.1960081202311,227.02520152004686,1.0
0 days 07:05:00,737.1960074902128,227.02520135091282,1.0,737.1960074902128,227.02520135091282,1.0
0 days 07:10:00,737.1960080890054,227.02520151166405,1.0,737.1960080890054,227.02520151166405,1.0
0 days 07:15:00,737.1960076419698,227.02520139165333,1.0,737.1960076419698,227.02520139165333,1.0
0 days 07:20:00,737.196007777336,227.0252014279936,1.0,737.196007777336,227.0252014279936,1.0
0 days 07:25:00,737.1960076744584,227.02520140037518,1.0,737.1960076744584,227.02520140037518,1.0
0 days 07:30:00,737.1960071672131,227.02520126420058,1.0,737.1960071672131,227.02520126420058,1.0
0 days 07:35:00,737.1960076989895,227.02520140696078,1.0,737.1960076989895,227.02520140696078,1.0
0 days 07:40:00,737.1960074800287,227.02520134817877,1.0,737.1960074800287,227.02520134817877,1.0
